tenure1,tenure2,runs,mean_gap,min_gap,median_gap,std_gap,mean_iterations,mean_candidates,mean_feasibility,file
11,4,100,2.70121951,0.609756,2.804878,1.020961032,19051.96,1271076837,36010870.9,E100_1000.1_r50_lk_ts_t11_t4_ite10.res
11,5,100,2.97560973,0.121951,2.926829,1.196757334,21291.17,1408693587,33313008.71,E100_1000.1_r50_lk_ts_t11_t5_ite10.res
11,6,100,2.89268291,0,2.926829,1.147946913,22293.75,1459733545,32141113.3,E100_1000.1_r50_lk_ts_t11_t6_ite10.res
11,7,100,3.05000001,0.365854,3.170732,1.178988527,23722.86,1529585192,30142295.41,E100_1000.1_r50_lk_ts_t11_t7_ite10.res
11,8,100,3.24512189,1.097561,3.414634,1.083980853,25463.94,1617194294,28913633.32,E100_1000.1_r50_lk_ts_t11_t8_ite10.res
11,9,100,3.22682927,0.97561,3.2317075,1.120040262,26864.74,1679784365,27795924.9,E100_1000.1_r50_lk_ts_t11_t9_ite10.res
13,10,100,3.15243904,0.609756,3.292683,1.115599326,28581.64,1745406669,25945459.34,E100_1000.1_r50_lk_ts_t13_t10_ite10.res
13,11,100,3.29878051,0.243902,3.292683,1.29912293,30423.53,1816903737,24795572.05,E100_1000.1_r50_lk_ts_t13_t11_ite10.res
13,12,100,3.57804882,0.853659,3.536585,1.320551901,31970.91,1869839335,24232521.84,E100_1000.1_r50_lk_ts_t13_t12_ite10.res
13,13,100,3.55609761,1.097561,3.536585,1.30734687,33779.42,1939533561,23330718.08,E100_1000.1_r50_lk_ts_t13_t13_ite10.res
13,14,100,3.9268293,1.097561,3.780488,1.463209319,34932.85,1960995219,22620816.66,E100_1000.1_r50_lk_ts_t13_t14_ite10.res
13,15,100,4.03780489,1.097561,3.902439,1.370642276,37057.96,2039661898,22214227.85,E100_1000.1_r50_lk_ts_t13_t15_ite10.res
13,16,100,4.10243909,1.097561,4.02439,1.330445912,37898.65,2031634224,21444447.16,E100_1000.1_r50_lk_ts_t13_t16_ite10.res
13,17,100,4.27926832,1.097561,4.207317,1.481583749,40075.52,2092712875,20808131.33,E100_1000.1_r50_lk_ts_t13_t17_ite10.res
13,18,100,4.26585368,0.243902,4.268293,1.488350022,41709.87,2129770110,20367048.98,E100_1000.1_r50_lk_ts_t13_t18_ite10.res
13,19,100,4.47439029,0.365854,4.4512195,1.663255636,43380.44,2140718285,19487671.9,E100_1000.1_r50_lk_ts_t13_t19_ite10.res
13,1,100,3.32804881,1.097561,3.292683,1.040768019,13387.52,877204903.1,51567712.09,E100_1000.1_r50_lk_ts_t13_t1_ite10.res
13,20,100,4.6878049,1.097561,4.695122,1.699761563,45789.37,2189063598,19206157.15,E100_1000.1_r50_lk_ts_t13_t20_ite10.res
13,21,100,4.54146346,1.097561,4.5731705,1.662842394,47113.76,2191284548,18898090,E100_1000.1_r50_lk_ts_t13_t21_ite10.res
13,22,100,4.74024394,1.097561,4.695122,1.761507141,48947.01,2193898663,18183029.48,E100_1000.1_r50_lk_ts_t13_t22_ite10.res
13,23,100,5.00487808,1.097561,4.878049,1.992429436,51281.04,2213059977,17825790.82,E100_1000.1_r50_lk_ts_t13_t23_ite10.res
13,24,100,4.81951221,1.097561,4.756098,1.879093151,53541.33,2223752809,17370291.94,E100_1000.1_r50_lk_ts_t13_t24_ite10.res
13,25,100,4.93292687,1.097561,4.756098,1.956015821,56925.95,2249364744,16667162.52,E100_1000.1_r50_lk_ts_t13_t25_ite10.res
13,26,100,4.91463417,1.097561,4.8170735,1.870762035,58113.07,2233641025,16496009.28,E100_1000.1_r50_lk_ts_t13_t26_ite10.res
13,27,100,5.02926832,1.097561,4.878049,2.019181657,60986.7,2258295278,16023728.95,E100_1000.1_r50_lk_ts_t13_t27_ite10.res
13,28,100,5.00487808,1.097561,4.878049,1.981087614,62404.42,2257037285,15909343.67,E100_1000.1_r50_lk_ts_t13_t28_ite10.res
13,29,100,4.96585369,1.097561,4.8170735,1.946523664,64695.28,2270140460,15731615.18,E100_1000.1_r50_lk_ts_t13_t29_ite10.res
13,2,100,2.97317072,0.243902,3.04878,1.028350839,15683.28,1039724522,44016777.81,E100_1000.1_r50_lk_ts_t13_t2_ite10.res
13,30,100,5.07560979,1.097561,4.9390245,2.048846483,67116.98,2276548574,15337928.44,E100_1000.1_r50_lk_ts_t13_t30_ite10.res
13,3,100,2.68780492,0.365854,2.682927,0.8737335912,17374.65,1152241559,39084389.86,E100_1000.1_r50_lk_ts_t13_t3_ite10.res
13,4,100,2.73414636,0,2.8658535,1.161231174,19079.49,1259535230,35758511.58,E100_1000.1_r50_lk_ts_t13_t4_ite10.res
13,5,100,2.88292682,0.121951,2.926829,1.115888128,20801.89,1358379413,33802598.26,E100_1000.1_r50_lk_ts_t13_t5_ite10.res
13,6,100,2.80487805,0.609756,2.804878,1.10077272,22724.48,1470881104,31729042.18,E100_1000.1_r50_lk_ts_t13_t6_ite10.res
13,7,100,2.94999998,0.609756,2.926829,1.171600689,24039.26,1536209887,29747003.58,E100_1000.1_r50_lk_ts_t13_t7_ite10.res
13,8,100,3.03292682,0.731707,3.04878,1.081172291,25945.79,1636448937,28788598.51,E100_1000.1_r50_lk_ts_t13_t8_ite10.res
