tenure1/tenure2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,1.803578953,1.774631091,1.787012342,1.782861956,1.764708835,1.740814483,1.697687124,1.73401144,1.59098701,1.649834871,1.548718556,1.493483663,1.538916548,1.536429856,1.507438863
2,1.603107363,1.622981681,1.627647882,1.653488537,1.55372711,1.481843853,1.514543,1.420606911,1.411070147,1.401050427,1.424169789,1.542620977,1.497135579,1.415432235,1.395444434
3,1.50267096,1.583814551,1.611924288,1.582425606,1.38759847,1.377857699,1.373898893,1.366683731,1.402160865,1.435281888,1.308519557,1.399679683,1.424105606,1.365047875,1.431336907
4,1.479444374,1.409484491,1.327194795,1.409204803,1.339452134,1.326993946,1.31251453,1.323123289,1.411462303,1.348705144,1.40938496,1.39672883,1.420448225,1.389164354,1.397938994
5,1.211987903,1.216776422,1.197747386,1.320571935,1.25108785,1.344768148,1.222326831,1.233068564,1.234405738,1.241890614,1.369429107,1.356977532,1.385206727,1.391643728,1.267413747
6,1.336856559,1.131459795,1.083143985,1.155016377,1.143702016,1.157194939,1.171643424,1.248243422,1.285142731,1.202312757,1.278391893,1.324680074,1.320047476,1.274212757,1.261586801
7,1.040109674,1.194209984,1.21248228,1.103902078,1.10026434,1.097659977,1.152237154,1.125492979,1.25773645,1.218389875,1.137433296,1.23656356,1.207908569,1.161380858,1.328848574
8,1.081900913,0.9662248269,1.040309282,0.949776258,1.070743001,1.053276654,1.190803385,1.154328609,1.09883038,1.084277998,1.139595988,1.205842589,1.097746124,1.16944781,1.200144056
9,1.025466788,1.155587745,1.178371811,1.041021697,1.149003835,1.153173281,0.9742424025,1.087565376,1.083458071,1.139885567,1.136199928,1.131726813,1.064403005,1.144387819,1.132825022
10,1.124267363,1.132679876,1.151952793,0.9843570139,0.9937399453,1.07722065,1.060105442,0.963777259,1.067813385,1.018361554,1.06858589,1.042162486,1.168429653,1.201137967,1.186576776
11,0.9894272744,0.9856098692,1.032518877,0.8956393045,0.94043256,1.008601158,0.987757952,1.05910801,1.056885737,1.037278396,1.107928984,0.8938970167,1.010245545,1.201810528,1.176301456
12,1.087358135,1.086486252,1.011810677,0.8120819928,1.027035393,1.019759287,0.9065445259,0.9496479048,1.017161584,0.8778987777,1.046019296,1.078813387,1.093214955,0.9735807788,1.116164456
13,1.01931852,1.001507433,0.9354822339,0.9348116607,0.9218634162,1.075210586,0.9792903874,1.00459563,0.9939110905,0.9690317823,1.037968487,1.013485588,1.015109533,1.083612705,1.086138572
14,1.0099269,0.9355500651,0.9307067877,0.8835298366,0.9411882754,1.005236733,0.9991063148,0.9396472644,1.110721236,1.012660418,1.135335341,1.088951183,1.047610374,1.055501048,0.9303520363
15,1.010200307,1.003480419,0.9280239431,0.8652800452,0.9419702758,0.9833893347,0.9602511313,0.9044274976,1.026011362,1.002018791,1.002077748,1.058446135,1.070954558,1.028803931,1.219248141
16,0.9293936254,0.8738730389,0.8688086809,0.8388904866,0.9694908879,0.957184382,1.00452739,1.034369503,0.9507948109,1.022814108,1.04389384,1.000345015,1.045947061,0.9932287955,1.111095634
17,1.105965022,1.026540807,0.850714665,0.895064314,1.013813094,0.9091594548,0.8196318945,0.8240128123,1.004554472,1.027149051,0.9538096643,1.122782567,1.094480058,1.063008431,1.026827631
18,1.089757636,0.8668272019,0.9245757659,0.9214997442,0.8660770562,0.9797679714,1.016012732,0.9612342688,0.9031935314,1.134768852,0.9362493475,1.035853464,1.03485229,1.18655538,1.203189314
19,1.012845883,0.8382554568,0.8916616494,0.9940848024,0.8962238084,0.7560469404,0.9022267034,0.8801756019,0.9059442436,0.9675213852,0.9622117683,1.078031714,0.9471045298,1.026204367,1.157554735
20,0.9680546057,0.9794563627,0.8639343026,0.9032160483,0.8352331128,1.004048976,0.9691732832,0.7721603651,0.9558518445,0.9766922929,0.9698338464,1.092018152,1.130606752,0.9673429553,1.09090859
21,0.9871953799,0.8276161772,0.9707699848,0.8883445196,0.8826463822,0.8713912382,0.9726206097,1.012633438,1.038482033,1.086934835,1.047928437,0.8732103647,0.9554035205,1.117748259,1.074870477
22,0.9625415414,0.9080661517,0.9253271829,0.896477999,0.9543631739,0.9293963868,0.9850275377,0.8971270487,0.8218136828,0.9323775847,1.013152324,1.027554957,1.050512898,1.05972211,1.100536559
23,0.9677365794,0.94021456,0.9236635721,0.997771231,0.9226067407,0.9400849187,1.028609539,0.9111366598,1.036151815,0.984044266,1.012287435,1.053373055,1.046829685,1.031321173,1.16021062
24,1.034418543,0.9951364837,0.9399201779,0.9348924086,0.8724657141,0.978434474,0.9226376753,0.9953629671,0.9202314436,0.977473823,1.216809813,1.12111872,0.968376498,1.071776891,1.107394843
25,0.9663713258,0.9721845985,0.9757482011,0.9745081908,0.7935209525,0.9804078824,0.9359944552,1.033092239,0.9565508821,0.8630110106,1.029078441,1.074927166,1.138677688,1.12303299,1.239483945
26,0.9855963017,0.891975577,0.9098489482,0.8620513538,0.88987232,0.8318703302,1.016808971,1.026679342,1.036176331,1.044567335,1.03738432,1.041349031,1.060974417,1.204709316,1.158703501
27,1.038064428,0.9425610116,0.9178230248,0.9618713064,0.9652671596,0.8717261967,0.8453914919,0.9116694076,1.026679931,1.001435825,1.101913021,1.060557973,0.9385408064,1.28117192,1.27883125
28,1.012432815,0.9006035466,0.9028504706,0.9454926254,0.9723014529,0.9617498576,0.9349033079,0.935164,0.9975796699,1.130671316,1.134807435,1.042625249,1.14740734,1.074493076,1.170389679
29,1.03024414,0.9530539771,0.9787309275,0.8905219331,0.9435430513,1.002403816,1.004860962,0.8982583691,1.113040821,1.060425701,0.864169428,1.033074451,1.221594862,1.245127398,1.161723516
30,1.074882865,0.9067460945,0.9435571934,0.8773990879,0.9073619381,0.9961533437,0.8461171903,1.041796941,1.018011782,1.143943954,1.060596271,1.052793797,1.231056698,1.228604054,1.242810301
31,0.9828204945,1.015355251,0.9934358156,0.9905410555,0.9916220529,0.9361788158,1.014614822,0.9502038687,1.008640775,0.9950038192,1.030155449,1.129568772,1.149520817,1.23972975,1.23481701
32,1.010371207,1.209392198,0.8798379095,0.932973098,0.8833250624,0.9462140993,0.9853335249,0.9953323823,0.9750758986,1.169854281,1.049711985,1.104295306,1.18393497,1.289330762,1.356446096
33,1.177738709,1.040012046,0.9125010974,0.9064353027,0.8421264979,0.9555755649,0.9615353633,0.9793428968,0.9073389047,1.02456018,1.142498156,1.126166718,1.173825802,1.16611255,1.315067966
34,1.023028191,1.060871547,0.9062076945,0.8181994861,1.097070569,1.003335527,1.027510516,1.035372338,1.049494288,1.112137106,1.150986499,1.208975895,1.243226975,1.208471765,1.380822703
35,0.9888729085,0.9855454249,1.050771492,1.020729873,0.9677575326,1.019136663,1.070290566,1.008071741,0.9264768987,1.024575685,1.153128657,1.193904295,1.199344132,1.31535512,1.386420069
36,1.181107749,0.9273944445,0.934132366,0.8775842037,0.908574881,1.028039196,0.9527608886,1.154073417,1.146604278,1.149852101,1.10741499,1.163296023,1.185824973,1.287474362,1.314366397
37,1.030426549,1.07204931,1.082651614,1.064395841,1.015905258,1.07553464,1.074549214,1.066797626,1.084891829,1.088217104,1.191419958,1.12213739,1.345753332,1.322353575,1.330341433
38,1.000503009,0.987973781,1.062650705,1.032526849,1.011810717,1.044206907,1.057020298,1.06969913,1.045818402,1.270603016,1.384250059,1.367815125,1.359626817,1.228686758,1.378426553
39,1.10221257,1.004524223,1.084723434,1.055388622,1.071288204,1.082783529,1.018969092,1.148781207,1.103657637,1.156334508,1.255764615,1.353991791,1.290059099,1.320472476,1.304831554
40,1.115556975,0.9354360768,1.142222553,1.006372741,1.083190872,1.050938199,1.110652158,1.117664792,1.147967536,1.289954341,1.127631229,1.300219522,1.301577925,1.370348407,1.383064197
