tenure1,tenure2,runs,mean_gap,min_gap,max_gap,std_gap,mean_value,mean_iterations,mean_candidates,mean_feasibility
1,1,100,7.02744424,0.857633,15.951973,3.327225923,623.97,18857.33,3027861653,250723996.6
1,2,100,6.74271015,0.857633,15.780446,3.473550351,622.31,19961.21,3278165479,239674872.3
1,3,100,6.64322472,0.857633,15.780446,3.417152109,621.73,21037.7,3567308269,230964381.7
1,4,100,6.22984567,0.857633,14.57976,3.311237303,619.32,23281.18,4118074334,212891451.8
1,5,25,6.1886792,0.857633,14.236707,3.210083952,619.08,24776.92,4699499432,197707612.6
1,6,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,7,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,8,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,9,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,10,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,11,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,13,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,14,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,15,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,3,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,4,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,5,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,6,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,7,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,8,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,9,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,10,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,11,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,13,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,14,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,15,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1,100,4.79759861,0.343053,13.5506,2.770448399,610.97,16626.74,2440868488,200267487.3
3,2,100,4.38593482,0.857633,13.5506,2.883231778,608.57,18426.2,2960168493,190130158.4
3,3,100,4.26929672,0.51458,12.864494,2.490421631,607.89,21472.31,3668238827,178001208.7
3,4,100,3.7701544,0.51458,11.149228,2.15467414,604.98,24533.08,4520860321,153643211.2
3,5,100,3.45797608,0,9.090909,1.902668667,603.16,27201.89,5244364679,138486525
3,6,100,3.85934823,0.343053,12.864494,2.149221934,605.5,30363.84,6167042697,118632481.5
3,7,100,3.62778732,0.343053,12.864494,1.943107817,604.15,32967.79,6943708135,105893251.5
3,8,100,3.70497433,0.343053,10.291595,1.949616126,604.6,35109.68,7547747662,94506666.63
3,9,100,4.30531736,0.343053,12.864494,2.244060887,608.1,36506.88,8092415892,88875780.18
3,10,100,4.19725561,0.857633,12.864494,2.046511483,607.47,39459.98,8925548487,79381183.24
3,11,100,4.13893651,0.857633,9.433962,1.859688314,607.13,41020.76,9428727267,72364562.75
3,12,100,4.62950258,0.857633,12.864494,2.211779503,609.99,42203,9866912640,68214020.44
3,13,100,4.42024012,1.02916,12.864494,1.978344679,608.77,43687.16,1.032252816e+10,63273562.67
3,14,100,4.75471698,0.51458,11.149228,2.157857942,610.72,45769.94,1.093415419e+10,54189460.17
3,15,100,4.86449399,0.857633,14.751286,2.537544361,611.36,47313.13,1.136751705e+10,52116788.3
4,1,100,3.35677526,0.343053,13.5506,2.400908647,602.57,17056.97,2559857048,194031143.9
4,2,100,2.9554031,0.343053,8.919383,1.761231554,600.23,22097.65,3649380304,167552856.9
4,3,100,2.84562614,0,9.090909,1.548466796,599.59,24774.94,4361713335,156924980.4
4,4,100,2.97770156,0.343053,11.149228,1.767239289,600.36,26586.67,4898392082,145561012.3
4,5,100,3.05660381,0.51458,9.605489,1.685092437,600.82,29231.16,5664743274,126197301.2
4,6,100,3.07547171,0.51458,7.890223,1.515520151,600.93,31217.91,6280567406,120590487.8
4,7,100,3.36020585,0.343053,10.291595,1.797844937,602.59,33319.74,6935225405,104209480.1
4,8,100,3.68096054,0.51458,9.948542,2.005878211,604.46,36077.49,7718864918,91398009.11
4,9,100,3.62092624,0.857633,9.262436,1.808853363,604.11,36972.81,8091845593,87005694.87
4,10,100,3.89022299,0.51458,12.864494,1.966445266,605.68,38974.61,8697807308,81755564.78
4,11,100,3.94168099,0.686106,9.605489,1.974303403,605.98,40954.87,9306110852,72783872.69
4,12,100,4.23327614,1.02916,9.090909,1.819498774,607.68,42541.18,9833830633,68591890.98
4,13,100,4.35334476,0.51458,12.864494,2.096625391,608.38,45124.42,1.056260944e+10,59448108.26
4,14,100,4.34476844,0.343053,10.977702,2.172404038,608.33,46253.66,1.092612336e+10,56222507.15
4,15,100,4.71698112,0.343053,12.864494,2.149360245,610.5,47871.17,1.141650243e+10,48827192.53
5,1,100,2.37564327,0,11.835334,1.809917634,596.85,20033.76,3094332701,183077017.6
5,2,100,1.57118361,0,7.204117,1.159183595,592.16,24785.58,4210949480,156544239.1
5,3,100,2.14579764,0,6.346484,1.302319087,595.51,26023.38,4629529649,154319749.6
5,4,100,2.26072044,0,5.488851,1.193207702,596.18,28440.21,5308383857,134818972.4
5,5,100,2.7307033,0,7.204117,1.526934054,598.92,29300.4,5662607796,127943128.4
5,6,100,2.78216124,0.686106,8.233276,1.388698875,599.22,31467.03,6286795478,117158561.6
5,7,100,2.86277874,0.51458,8.747856,1.504980743,599.69,33621.56,6897943505,109441991
5,8,100,3.01372216,0.51458,9.605489,1.554817942,600.57,36629.89,7754665954,91512095.12
5,9,100,3.2264151,0,7.54717,1.458856281,601.81,37637.93,8148194715,85885128.86
5,10,100,3.4373928,0.343053,7.54717,1.498098111,603.04,39088.38,8650478672,83767892.55
5,11,100,3.73070322,0.51458,9.605489,1.695114424,604.75,39877.14,8962152291,79459590.34
5,12,100,3.63636369,0.51458,8.06175,1.757539934,604.2,43049.65,9842467516,67016780.52
5,13,100,3.98113205,0.51458,7.54717,1.760293114,606.21,44209.36,1.02369524e+10,62899963.44
5,14,100,4.24528302,0.686106,8.404803,1.938054183,607.75,45870.34,1.072673751e+10,59770745.15
5,15,100,4.44939965,0.51458,9.262436,1.975934433,608.94,47609.52,1.124065526e+10,53122337.37
6,1,100,1.34133797,0,4.631218,0.9981942464,590.82,21473.11,3369275375,167210639.5
6,2,100,1.31560898,0,4.974271,1.112435786,590.67,24347.27,4106452805,152255827.9
6,3,100,1.50943401,0,4.459691,1.040645988,591.8,27007.1,4789254586,145706637.6
6,4,100,2.0583191,0.171527,5.317324,1.253601622,595,28754.29,5338530215,143392696.2
6,5,100,2.25385939,0,6.003431,1.200319696,596.14,31024.86,5969029503,119921175.6
6,6,100,2.52658667,0.343053,8.919383,1.39580165,597.73,33254.42,6581665047,108615359.3
6,7,100,2.70668956,0.343053,8.404803,1.303934825,598.78,34267.07,6984608200,106718210.4
6,8,100,2.7461406,0.171527,6.174957,1.261988228,599.01,36799.49,7736008673,91301102.93
6,9,100,2.90394504,0.343053,8.233276,1.413657397,599.93,38227.69,8217800821,84271396.13
6,10,100,3.34476841,0.686106,6.861063,1.598778564,602.5,39419.94,8642024121,82579603.32
6,11,100,3.44596914,0.343053,8.747856,1.627444032,603.09,40883.46,9113803764,77988535.7
6,12,100,3.63121784,0.686106,11.149228,1.685387823,604.17,43182.6,9817195860,70116513.1
6,13,100,3.98456259,0.171527,9.262436,1.853637829,606.23,44681.81,1.025952682e+10,63706594.31
6,14,100,4.23499144,1.02916,8.919383,1.898599362,607.69,45927.38,1.066198979e+10,61438173.63
6,15,100,4.38593479,0.857633,11.149228,1.882022627,608.57,47858.65,1.120963159e+10,54292264.19
7,1,100,0.73241867,0,4.116638,0.7390134254,587.27,22136.54,3474703240,169650257.9
7,2,100,0.93996576,0,3.773585,0.7965420481,588.48,24878.17,4171204031,150563570.6
7,3,100,1.42881657,0,4.631218,0.9812817074,591.33,27089.49,4795880842,143586532.4
7,4,100,1.72212698,0,4.631218,1.232544075,593.04,29168.99,5357944793,138191217.6
7,5,100,1.94168105,0,5.488851,1.277292949,594.32,30756.57,5877968828,128427598.6
7,6,100,2.29845628,0,8.747856,1.430323471,596.4,32949.11,6482498541,118254170.5
7,7,100,2.44253862,0.343053,7.890223,1.390525264,597.24,35722.66,7263212644,105745958.2
7,8,100,2.7770154,0.686106,9.090909,1.497259634,599.19,36647.13,7645036597,97096206.9
7,9,100,2.9142367,0.857633,6.861063,1.270671479,599.99,38125.09,8122555758,91632560.58
7,10,100,3.06003427,0.343053,8.404803,1.479694781,600.84,40427.29,8815574766,80673296.43
7,11,100,3.2984563,0.857633,7.54717,1.488732261,602.23,41047.42,9093658102,77799740.19
7,12,100,3.55574614,0.51458,7.54717,1.711424706,603.73,43070.62,9690771722,71846314.12
7,13,100,3.73241852,0.51458,8.404803,1.663569411,604.76,44069.13,1.004351161e+10,71020275.79
7,14,100,4.00686105,0.857633,8.404803,1.797419277,606.36,46406.91,1.068615694e+10,62134544.05
7,15,100,4.17152657,0.343053,11.320755,1.938131604,607.32,47092.34,1.094586312e+10,60430599.09
8,1,100,0.61063477,0,3.602058,0.6502215282,586.56,22283.41,3469797883,169280641.7
8,2,100,0.8730704,0,3.430532,0.7070520527,588.09,24615.02,4094192836,159721479.2
8,3,100,1.2538594,0,4.459691,1.104026154,590.31,26641,4685993610,150373025.8
8,4,100,1.58490572,0,4.459691,1.041536575,592.24,29117.36,5356376134,140461038.9
8,5,100,1.87650088,0,6.51801,1.20422526,593.94,29991.93,5667531107,138817594
8,6,100,2.15608923,0.171527,5.660377,1.113023291,595.57,32565.29,6374560995,123770051.5
8,7,100,2.32761575,0,6.861063,1.282951679,596.57,35723.45,7221797081,100240256
8,8,100,2.87307033,0.51458,9.090909,1.42936222,599.75,37321.63,7714099612,98992648.95
8,9,100,2.9502573,0.171527,7.54717,1.411499906,600.2,37951.85,8038293785,89699376.76
8,10,100,2.96054886,0,7.54717,1.512647579,600.26,40323.41,8728615383,79018450.28
8,11,100,3.32246999,0.686106,7.54717,1.480284186,602.37,40879.53,8994600662,80586371.79
8,12,100,3.28301886,0.51458,7.54717,1.5803668,602.14,43200.74,9668825234,75056285.67
8,13,100,3.71355062,0.171527,8.06175,1.701588843,604.65,44935.83,1.019383278e+10,67937525.36
8,14,100,3.95711838,0.343053,8.233276,1.646715665,606.07,46502.96,1.066514293e+10,63630599.59
8,15,100,4.07547171,0.857633,9.605489,1.726683776,606.76,47496.64,1.097900495e+10,60493037.62
9,1,100,0.38936541,0,2.229846,0.4441227706,585.27,22402.47,3450656166,170954551.5
9,2,100,0.74614074,0,3.945111,0.7983662493,587.35,25110.07,4170436741,160828841.5
9,3,100,1.01372226,0,4.802744,0.8901421504,588.91,26918.71,4705211565,156476955.3
9,4,100,1.33276165,0,4.288165,0.9340506331,590.77,28901.65,5258476602,145143497
9,5,100,1.6140652,0,5.145798,1.146390379,592.41,30071.86,5663350886,141790896.8
9,6,100,2.02915956,0,6.346484,1.204530019,594.83,33143.37,6483029201,123019069.4
9,7,100,2.41509437,0,5.488851,1.283976306,597.08,35234.3,7090225387,113540620.9
9,8,100,2.64150941,0.51458,8.06175,1.280806114,598.4,37256.05,7669313691,95256256.42
9,9,100,2.76843909,0.171527,6.003431,1.32371365,599.14,39434.41,8327905656,91223894.23
9,10,100,3.09090911,0.343053,7.54717,1.459525322,601.02,41214.81,8888308014,79207426.76
9,11,100,3.2298456,0.686106,7.54717,1.559360426,601.83,41852.14,9169833175,79063226.85
9,12,100,3.43910802,0.857633,7.54717,1.431439833,603.05,43762.15,9744842485,70965854.44
9,13,100,3.68953689,0.51458,7.54717,1.625872855,604.51,45217.47,1.020778942e+10,65796177.77
9,14,100,4.02058317,0.686106,10.120069,1.812206009,606.44,45915.89,1.047249644e+10,66387710.68
9,15,100,4.19554031,0.857633,8.576329,1.75862515,607.46,47931.37,1.104102679e+10,58205796.09
10,1,100,0.45626079,0,1.886792,0.4369483714,585.66,22445.91,3439152068,173330265.1
10,2,100,0.5403089,0,1.886792,0.4589447537,586.15,24877.25,4096969826,165577796.8
10,3,100,0.80617508,0,3.259005,0.6745302521,587.7,26496.9,4595857136,158428841.8
10,4,100,1.31046317,0,4.974271,0.986556919,590.64,27583.92,5003850067,158260947.5
10,5,100,1.76157814,0,5.317324,1.158192258,593.27,29199.68,5486222621,148159312.9
10,6,100,1.9382505,0,4.974271,1.089067303,594.3,33583.61,6548095942,119538864.7
10,7,100,2.22813037,0,6.003431,1.209808198,595.99,34492.93,6912287685,116117029.4
10,8,100,2.5042882,0.171527,5.660377,1.296717292,597.6,36984.15,7586995321,96156439.96
10,9,100,2.60720409,0,6.689537,1.401993273,598.2,38487.64,8076888632,92980197.28
10,10,100,2.91252147,0,7.54717,1.396254036,599.98,39989.72,8546853876,87781783.16
10,11,100,3.14922812,0.343053,7.54717,1.474826399,601.36,41980.24,9154076556,78997031.24
10,12,100,3.27958835,0.343053,7.54717,1.439907219,602.12,43966.75,9765680706,72602714.64
10,13,100,3.62435679,0.171527,7.54717,1.622974967,604.13,45481.25,1.022790057e+10,66795968.27
10,14,100,3.83876501,0.51458,8.233276,1.750556088,605.38,47623.06,1.085013433e+10,60547162
10,15,100,3.81475129,0.857633,7.54717,1.608345233,605.24,48233.23,1.108554215e+10,58728618.43
11,1,100,0.41680969,0,1.715266,0.378675298,585.43,22483.07,3417113726,174221301.7
11,2,100,0.60034319,0,3.602058,0.6038597994,586.5,24712.68,4049875817,170572303.4
11,3,100,0.79931396,0,4.974271,0.810133569,587.66,26125.14,4513208200,160125008.3
11,4,100,1.1646656,0,3.945111,0.9487113372,589.79,27843.73,5033292929,152410399.4
11,5,100,1.41852492,0,4.288165,1.107294615,591.27,29738.38,5569244036,139727152.1
11,6,100,1.91423674,0,5.317324,1.091852552,594.16,32989.52,6400811961,121670392.5
11,7,100,2.12864501,0.171527,6.861063,1.242193103,595.41,35817.17,7167497010,111806756.8
11,8,100,2.3979417,0.171527,7.54717,1.395402376,596.98,37195.06,7609398030,101143545
11,9,100,2.62950261,0,6.174957,1.390083829,598.33,38750.57,8119022180,92335686.51
11,10,100,2.73413383,0.51458,6.346484,1.32703221,598.94,41568.66,8883620585,80779349.33
11,11,100,3.34648368,0.686106,7.375643,1.449209152,602.51,42504.48,9261707939,76634346.69
11,12,100,3.2315609,0.343053,6.861063,1.492692517,601.84,43613.3,9632969128,73308179.03
11,13,100,3.54716981,0,7.890223,1.639594244,603.68,45491.24,1.01895808e+10,66989116.9
11,14,100,3.60548885,0.171527,8.233276,1.710056705,604.02,47178.92,1.068902036e+10,61687328.86
11,15,100,3.90394508,0.686106,8.576329,1.767844647,605.76,49443.03,1.132245441e+10,54023876.89
12,1,100,0.43739284,0,1.543739,0.327428926,585.55,22496.8,3403232931,178425716
12,2,100,0.49056611,0,2.229846,0.4006146914,585.86,24719.47,4024890016,174518790.6
12,3,100,0.6792454,0,2.744425,0.570673115,586.96,26324.17,4537485067,170050034.2
12,4,100,0.87307038,0,3.602058,0.7370967591,588.09,27573.13,4936323390,156897775.6
12,5,100,1.36706699,0,3.773585,0.9169030677,590.97,29909.75,5586566734,142891635.5
12,6,100,1.73241853,0.171527,4.631218,1.097223157,593.1,31969.47,6171032953,127134029.1
12,7,100,2.09262439,0,6.689537,1.243844023,595.2,35683.72,7128069084,100421077.9
12,8,100,2.18353347,0.171527,7.204117,1.347265065,595.73,39588.2,8127582834,88327691.51
12,9,100,2.66895366,0.171527,6.003431,1.325127307,598.56,39361.66,8246835579,86670586.56
12,10,100,2.89708409,0.51458,5.145798,1.186342445,599.89,39441.73,8405259858,91599305.8
