tenure1/tenure2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,0.857633,0.857633,0.857633,0.857633,0.857633,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,0.343053,0.857633,0.51458,0.51458,0,0.343053,0.343053,0.343053,0.343053,0.857633,0.857633,0.857633,1.02916,0.51458,0.857633
4,0.343053,0.343053,0,0.343053,0.51458,0.51458,0.343053,0.51458,0.857633,0.51458,0.686106,1.02916,0.51458,0.343053,0.343053
5,0,0,0,0,0,0.686106,0.51458,0.51458,0,0.343053,0.51458,0.51458,0.51458,0.686106,0.51458
6,0,0,0,0.171527,0,0.343053,0.343053,0.171527,0.343053,0.686106,0.343053,0.686106,0.171527,1.02916,0.857633
7,0,0,0,0,0,0,0.343053,0.686106,0.857633,0.343053,0.857633,0.51458,0.51458,0.857633,0.343053
8,0,0,0,0,0,0.171527,0,0.51458,0.171527,0,0.686106,0.51458,0.171527,0.343053,0.857633
9,0,0,0,0,0,0,0,0.51458,0.171527,0.343053,0.686106,0.857633,0.51458,0.686106,0.857633
10,0,0,0,0,0,0,0,0.171527,0,0,0.343053,0.343053,0.171527,0.51458,0.857633
11,0,0,0,0,0,0,0.171527,0.171527,0,0.51458,0.686106,0.343053,0,0.171527,0.686106
12,0,0,0,0,0,0.171527,0,0.171527,0.171527,0.51458,0,0.857633,0.51458,0.51458,0.343053
13,0,0,0,0,0,0,0,0.343053,0.343053,0,0,0.171527,0.171527,0,0.51458
14,0,0,0,0,0,0,0,0,0.343053,0,0.343053,0.171527,0,0.51458,0
15,0,0,0,0,0,0,0.171527,0,0,0,0.51458,0.51458,0.686106,0.171527,0.171527
16,0,0,0,0,0,0,0.171527,0,0,0,0.51458,0.343053,0.343053,0.51458,0.343053
17,0,0,0,0,0,0,0,0,0,0.171527,0,0.51458,0,0.51458,0.343053
18,0,0,0,0,0,0,0,0,0.171527,0,0,0.171527,0,0.171527,0
19,0,0,0,0,0,0,0,0,0.171527,0,0.343053,0.51458,0.171527,0,0.343053
20,0,0,0,0,0,0.171527,0,0,0.343053,0.171527,0,0.51458,0.171527,0,0.171527
21,0,0,0,0,0,0.171527,0,0.171527,0.171527,0,0.171527,0.171527,0.343053,0.171527,0.171527
22,0,0,0,0,0,0,0,0,0.171527,0.343053,0,0.171527,0.171527,0.171527,0.343053
23,0,0,0,0,0,0,0.171527,0,0.171527,0.171527,0.171527,0.171527,0.171527,0,0
24,0,0,0,0,0,0,0,0,0,0.171527,0.171527,0.171527,0.343053,0.343053,0.686106
25,0,0,0,0,0,0,0,0,0.171527,0.171527,0,0.171527,0,0.343053,0
26,0,0,0,0,0,0,0,0,0,0.171527,0,0.171527,0,0.171527,0.171527
27,0,0,0,0,0,0,0.171527,0,0,0,0.171527,0.171527,0.171527,0.343053,0
28,0,0,0,0,0,0,0,0.171527,0,0.343053,0.171527,0.171527,0.171527,0.343053,0.51458
29,0,0,0,0,0,0,0.171527,0,0,0.171527,0.171527,0.343053,0.171527,0.171527,0.343053
30,0,0,0,0,0,0,0,0.171527,0.171527,0,0.171527,0.343053,0,0.171527,0.343053
