tenure1,tenure2,runs,mean_gap,min_gap,max_gap,std_gap,mean_value,mean_iterations,mean_candidates,mean_feasibility
1,1,100,4.91816142,1.345291,10.762332,1.803578953,935.87,10986.7,2725194203,58438988.43
1,2,100,4.84192825,1.345291,8.96861,1.774631091,935.19,10843.12,2697301875,57828414.03
1,3,100,4.6580718,1.457399,8.632287,1.787012342,933.55,11029.06,2749979582,57484441.16
1,4,100,4.58071751,1.457399,8.632287,1.782861956,932.86,11366.85,2839545814,55110004.81
1,5,100,4.50448435,1.457399,8.632287,1.764708835,932.18,12164.48,3037250160,52191613.44
1,6,100,4.43049334,1.457399,8.632287,1.740814483,931.52,12879.16,3216280065,49594024.59
1,7,100,4.32062783,1.233184,8.632287,1.697687124,930.54,13479.66,3369056636,47246347.52
1,8,100,4.34417043,1.121076,8.520179,1.73401144,930.75,14400.34,3589547601,44289469.11
1,9,100,4.35201797,1.457399,8.520179,1.59098701,930.82,14939.82,3705863851,41111719.2
1,10,100,4.30044843,0.112108,8.632287,1.649834871,930.36,15534.5,3835526617,38811589.46
1,11,100,4.23878922,0.896861,8.632287,1.548718556,929.81,16235.15,3987774519,37499368.93
1,12,100,4.29596415,1.008969,8.632287,1.493483663,930.32,16886.37,4117954327,34557995.41
1,13,100,4.31502243,0.896861,8.632287,1.538916548,930.49,17189.38,4165292469,33110463.41
1,14,100,4.2432735,1.121076,8.183857,1.536429856,929.85,17824.97,4280100878,31342383.35
1,15,100,4.36547083,1.457399,8.183857,1.507438863,930.94,18623.1,4415910449,29437163.62
2,1,100,4.5661435,1.008969,8.96861,1.603107363,932.73,10877.07,2672291482,60178414.78
2,2,100,4.57623316,1.233184,8.632287,1.622981681,932.82,11370.14,2798582362,58666869.66
2,3,100,4.34529144,1.457399,8.071749,1.627647882,930.76,11606.99,2854612638,55380393.33
2,4,100,4.18497754,1.233184,8.295964,1.653488537,929.33,12270.67,3024282310,52153713.7
2,5,100,3.99215245,0.560538,7.847534,1.55372711,927.61,13421.88,3321205354,47685474.49
2,6,100,3.86547081,1.121076,7.959641,1.481843853,926.48,13962.55,3454314628,44860995.57
2,7,100,3.87331835,0.784753,7.959641,1.514543,926.55,14467.75,3570476031,40476587.23
2,8,100,3.80829597,0.784753,7.174888,1.420606911,925.97,14872.02,3660010130,36788047.63
2,9,100,3.70964124,1.008969,7.511211,1.411070147,925.09,15521.01,3804065932,35193464.28
2,10,100,3.78475337,-0.112108,7.06278,1.401050427,925.76,16241.82,3955896223,32572114.12
2,11,100,3.83968605,1.233184,7.511211,1.424169789,926.25,16595.54,4017814772,31189294.65
2,12,100,3.8710762,-0.112108,8.520179,1.542620977,926.53,17223.72,4137629809,29159820.18
2,13,100,3.99215241,0.560538,8.520179,1.497135579,927.61,17925.11,4266462598,27245792.22
2,14,100,3.96524662,0.560538,7.511211,1.415432235,927.37,18488.16,4362212415,26422525.32
2,15,100,3.97421521,0.560538,7.511211,1.395444434,927.45,19544.21,4555192599,24953555.28
3,1,100,4.29260087,1.457399,8.295964,1.50267096,930.29,10592.41,2555152066,60845726.39
3,2,100,4.29484301,1.345291,8.520179,1.583814551,930.31,11310.03,2745463092,57981657.38
3,3,100,4.24887891,1.008969,8.520179,1.611924288,929.9,11708.87,2847199298,54567311.26
3,4,100,3.89573993,0.896861,8.295964,1.582425606,926.75,12372.76,3027523847,50928142.24
3,5,100,3.62668163,1.345291,7.623318,1.38759847,924.35,13065.17,3208147886,47929363.46
3,6,100,3.46188337,0.672646,7.623318,1.377857699,922.88,13715.94,3361839622,44073654.21
3,7,100,3.46973093,0.672646,7.06278,1.373898893,922.95,14474.61,3539346692,40776147.24
3,8,100,3.36434976,1.121076,7.286996,1.366683731,922.01,15016.14,3665210532,37399583.7
