tenure1/tenure2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,10.762332,8.96861,8.632287,8.632287,8.632287,8.632287,8.632287,8.520179,8.520179,8.632287,8.632287,8.632287,8.632287,8.183857,8.183857
2,8.96861,8.632287,8.071749,8.295964,7.847534,7.959641,7.959641,7.174888,7.511211,7.06278,7.511211,8.520179,8.520179,7.511211,7.511211
3,8.295964,8.520179,8.520179,8.295964,7.623318,7.623318,7.06278,7.286996,7.511211,7.511211,6.838565,7.286996,7.06278,7.735426,8.520179
4,8.408072,8.183857,7.847534,7.399103,6.726457,6.950673,6.390135,7.06278,7.399103,6.502242,7.511211,7.399103,7.399103,7.286996,7.399103
5,7.174888,6.61435,6.950673,7.847534,6.502242,6.838565,6.502242,6.502242,6.278027,6.502242,8.183857,7.286996,8.632287,7.06278,7.06278
6,7.286996,6.61435,6.502242,6.950673,5.829596,5.829596,6.726457,7.06278,7.399103,7.174888,6.61435,6.726457,6.726457,6.950673,7.06278
7,5.941704,6.726457,6.165919,5.717489,6.053812,5.829596,6.053812,6.053812,6.726457,6.278027,6.165919,6.390135,6.726457,6.390135,7.511211
8,6.726457,5.941704,7.174888,5.941704,6.390135,6.726457,7.174888,5.829596,6.502242,5.717489,6.726457,6.726457,6.278027,6.390135,7.174888
9,6.726457,6.278027,5.717489,5.493274,7.06278,5.941704,6.053812,5.829596,5.493274,6.502242,6.278027,6.502242,6.502242,6.390135,6.165919
10,7.399103,6.726457,6.502242,5.381166,5.156951,5.941704,6.390135,5.269058,6.502242,6.502242,6.165919,5.941704,6.726457,6.726457,6.278027
11,6.726457,5.381166,6.165919,4.820628,5.269058,5.156951,5.156951,5.605381,6.502242,5.605381,6.502242,5.381166,5.605381,6.502242,6.165919
12,6.726457,6.278027,5.605381,4.372197,5.156951,6.502242,5.381166,5.605381,5.717489,4.372197,6.165919,5.941704,6.278027,6.165919,6.165919
13,5.941704,5.717489,4.932735,5.269058,5.044843,6.502242,5.044843,5.941704,5.829596,5.269058,5.381166,5.269058,6.165919,6.390135,5.381166
14,5.605381,5.717489,5.493274,4.932735,4.484305,5.941704,5.381166,6.165919,6.838565,5.381166,6.390135,5.381166,5.941704,5.829596,6.053812
15,7.511211,5.941704,4.932735,4.372197,5.044843,5.381166,5.941704,5.044843,5.829596,5.156951,5.717489,6.053812,5.605381,5.381166,6.726457
16,5.605381,5.269058,5.156951,4.484305,4.932735,4.70852,5.156951,5.493274,4.932735,6.502242,6.053812,5.381166,5.717489,5.044843,6.053812
17,7.399103,6.165919,4.70852,4.372197,4.820628,4.820628,4.484305,4.820628,6.726457,5.941704,5.044843,5.605381,6.390135,6.053812,6.053812
18,6.165919,5.044843,5.493274,4.932735,4.484305,4.70852,6.278027,4.820628,5.044843,6.61435,6.278027,6.165919,6.053812,6.053812,6.726457
19,6.726457,4.596413,4.70852,5.605381,4.484305,4.147982,5.717489,5.156951,5.044843,5.269058,5.605381,6.390135,5.941704,5.269058,6.165919
20,6.165919,5.493274,5.269058,4.932735,4.484305,4.820628,4.372197,5.493274,5.044843,5.044843,5.156951,6.502242,6.053812,5.829596,6.278027
21,5.381166,5.156951,6.278027,4.70852,4.147982,4.596413,4.70852,5.156951,6.165919,5.605381,5.829596,6.165919,5.156951,5.941704,6.278027
22,5.156951,5.269058,6.390135,4.820628,5.044843,4.820628,4.484305,5.044843,4.70852,5.044843,4.372197,6.165919,6.502242,6.278027,6.053812
23,5.381166,5.044843,4.820628,5.381166,5.605381,4.932735,5.717489,4.372197,5.941704,5.605381,5.381166,5.044843,5.941704,6.165919,6.278027
24,6.053812,6.053812,5.381166,6.053812,5.044843,5.381166,4.932735,5.381166,5.717489,5.605381,6.278027,6.165919,6.165919,6.165919,5.941704
25,6.390135,5.269058,6.390135,5.044843,4.596413,5.493274,5.493274,5.941704,4.932735,4.372197,5.269058,5.829596,6.61435,6.165919,6.502242
26,5.941704,4.932735,4.932735,5.044843,4.932735,4.484305,4.70852,5.269058,5.941704,5.044843,6.053812,5.829596,6.726457,6.726457,6.726457
27,6.053812,5.605381,4.932735,4.932735,6.053812,4.484305,4.820628,5.605381,6.053812,5.044843,6.165919,6.278027,5.605381,6.726457,6.838565
28,6.053812,5.717489,5.717489,5.269058,6.053812,4.932735,6.165919,4.820628,6.278027,6.726457,6.053812,6.278027,6.053812,6.726457,6.165919
29,5.829596,5.605381,6.053812,5.493274,5.381166,5.269058,5.269058,4.932735,6.165919,6.278027,5.269058,6.165919,6.726457,6.278027,6.278027
30,6.053812,5.269058,6.165919,5.156951,4.70852,5.493274,4.484305,5.381166,6.165919,6.165919,5.941704,6.053812,6.726457,6.165919,6.950673
31,5.381166,5.941704,5.493274,5.493274,5.269058,5.044843,6.950673,6.053812,6.165919,5.044843,5.941704,6.278027,6.726457,6.726457,6.726457
32,6.053812,5.829596,5.605381,5.269058,6.053812,5.269058,6.390135,5.605381,5.829596,6.053812,5.381166,6.726457,6.726457,6.950673,6.950673
33,5.941704,5.269058,5.044843,5.493274,5.493274,5.156951,5.941704,5.269058,6.053812,5.605381,6.165919,6.165919,6.726457,6.053812,6.726457
34,6.053812,6.390135,5.156951,5.044843,6.838565,6.390135,6.053812,6.165919,5.269058,6.053812,6.950673,6.726457,6.278027,6.278027,6.726457
35,5.717489,6.053812,6.61435,6.053812,5.381166,6.053812,6.390135,6.053812,6.053812,5.605381,5.605381,6.726457,6.278027,6.726457,7.286996
36,6.61435,5.156951,6.053812,5.269058,5.044843,5.829596,6.278027,6.053812,6.053812,6.950673,6.053812,6.726457,7.174888,6.278027,7.286996
37,6.502242,7.06278,6.61435,6.278027,5.269058,6.61435,6.278027,5.941704,6.165919,6.165919,6.278027,6.053812,6.726457,6.726457,6.726457
38,6.053812,5.269058,6.053812,6.502242,5.493274,5.605381,6.053812,6.278027,6.053812,6.726457,6.726457,7.286996,6.726457,6.278027,6.950673
39,6.053812,5.605381,6.165919,5.605381,6.726457,6.165919,6.278027,7.06278,6.165919,6.278027,6.502242,7.399103,6.726457,6.838565,6.726457
40,6.838565,5.717489,6.502242,6.053812,6.053812,6.053812,6.165919,6.61435,6.278027,6.61435,6.278027,6.726457,6.950673,6.838565,7.174888
