time_sec,mean_best_value,valid_runs
0.5,604.51,100
1.0,601.25,100
1.5,598.91,100
2.0,596.9,100
2.5,595.49,100
3.0,594.47,100
3.5,592.6,100
4.0,592.05,100
4.5,590.95,100
5.0,590.45,100
5.5,589.79,100
6.0,589.37,100
6.5,589.02,100
7.0,588.62,100
7.5,588.37,100
8.0,588.13,100
8.5,588.01,100
9.0,587.91,100
9.5,587.76,100
10.0,587.55,100
10.5,587.4,100
11.0,587.24,100
11.5,587.13,100
12.0,587.01,100
12.5,586.93,100
13.0,586.85,100
13.5,586.79,100
14.0,586.71,100
14.5,586.6,100
15.0,586.49,100
15.5,586.33,100
16.0,586.16,100
16.5,586.16,100
17.0,586,100
17.5,585.95,100
18.0,585.88,100
18.5,585.77,100
19.0,585.77,100
19.5,585.68,100
20.0,585.57,100
20.5,585.44,100
21.0,585.37,100
21.5,585.37,100
22.0,585.37,100
22.5,585.35,100
23.0,585.3,100
23.5,585.29,100
24.0,585.27,100
24.5,585.25,100
25.0,585.23,100
25.5,585.23,100
26.0,585.15,100
26.5,585.07,100
27.0,585.07,100
27.5,585.04,100
28.0,585.01,100
28.5,585.01,100
29.0,585.01,100
29.5,585.01,100
30.0,585.01,100
