tenure1/tenure2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,15.951973,15.780446,15.780446,14.57976,14.236707,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,13.5506,13.5506,12.864494,11.149228,9.090909,12.864494,12.864494,10.291595,12.864494,12.864494,9.433962,12.864494,12.864494,11.149228,14.751286
4,13.5506,8.919383,9.090909,11.149228,9.605489,7.890223,10.291595,9.948542,9.262436,12.864494,9.605489,9.090909,12.864494,10.977702,12.864494
5,11.835334,7.204117,6.346484,5.488851,7.204117,8.233276,8.747856,9.605489,7.54717,7.54717,9.605489,8.06175,7.54717,8.404803,9.262436
6,4.631218,4.974271,4.459691,5.317324,6.003431,8.919383,8.404803,6.174957,8.233276,6.861063,8.747856,11.149228,9.262436,8.919383,11.149228
7,4.116638,3.773585,4.631218,4.631218,5.488851,8.747856,7.890223,9.090909,6.861063,8.404803,7.54717,7.54717,8.404803,8.404803,11.320755
8,3.602058,3.430532,4.459691,4.459691,6.51801,5.660377,6.861063,9.090909,7.54717,7.54717,7.54717,7.54717,8.06175,8.233276,9.605489
9,2.229846,3.945111,4.802744,4.288165,5.145798,6.346484,5.488851,8.06175,6.003431,7.54717,7.54717,7.54717,7.54717,10.120069,8.576329
10,1.886792,1.886792,3.259005,4.974271,5.317324,4.974271,6.003431,5.660377,6.689537,7.54717,7.54717,7.54717,7.54717,8.233276,7.54717
11,1.715266,3.602058,4.974271,3.945111,4.288165,5.317324,6.861063,7.54717,6.174957,6.346484,7.375643,6.861063,7.890223,8.233276,8.576329
12,1.543739,2.229846,2.744425,3.602058,3.773585,4.631218,6.689537,7.204117,6.003431,5.145798,7.204117,6.003431,7.890223,7.375643,8.576329
13,2.572899,1.715266,2.915952,3.087479,4.974271,4.288165,7.375643,6.346484,6.861063,6.003431,7.204117,7.890223,8.233276,7.54717,9.605489
14,1.02916,2.229846,3.259005,2.401372,4.288165,4.116638,4.288165,7.890223,7.03259,6.174957,7.204117,8.233276,7.54717,7.54717,8.233276
15,1.200686,1.886792,2.401372,2.229846,3.259005,3.773585,5.660377,5.660377,7.718696,6.003431,7.890223,6.861063,9.948542,8.404803,7.375643
16,1.543739,1.715266,2.229846,2.229846,3.259005,3.773585,5.317324,4.974271,6.689537,6.003431,6.174957,8.233276,8.233276,7.54717,8.233276
17,1.543739,1.886792,4.116638,3.087479,3.259005,4.288165,5.488851,5.145798,7.03259,5.660377,6.003431,8.233276,6.861063,8.233276,8.233276
18,1.543739,1.543739,1.543739,2.058319,3.087479,3.430532,4.802744,5.145798,4.802744,5.660377,7.54717,7.03259,7.54717,7.54717,8.233276
19,1.200686,1.886792,2.058319,2.572899,2.744425,4.802744,4.631218,4.631218,7.03259,7.54717,6.689537,7.03259,6.861063,7.204117,7.54717
20,1.200686,1.715266,1.886792,2.229846,3.087479,3.430532,3.773585,4.288165,5.488851,6.003431,5.317324,6.689537,7.204117,7.54717,7.718696
21,1.372213,2.058319,1.886792,2.401372,3.430532,3.430532,3.773585,4.459691,4.974271,5.488851,7.54717,8.233276,8.233276,7.718696,8.404803
22,1.372213,1.372213,2.058319,2.401372,2.915952,3.087479,3.430532,4.288165,7.03259,7.54717,7.54717,9.605489,6.689537,8.233276,8.233276
23,1.200686,2.229846,1.372213,2.401372,2.401372,3.773585,3.773585,4.631218,4.974271,5.317324,6.346484,6.861063,7.54717,8.233276,8.06175
24,1.543739,1.372213,1.886792,2.401372,3.430532,2.915952,4.116638,4.459691,4.974271,6.003431,6.174957,6.689537,6.861063,7.718696,7.890223
25,1.200686,1.372213,1.715266,2.401372,3.087479,2.744425,3.773585,4.459691,5.145798,5.145798,5.488851,6.51801,6.689537,7.54717,8.06175
26,1.543739,1.200686,2.058319,2.401372,2.915952,3.087479,4.116638,4.116638,5.488851,5.831904,6.174957,6.174957,8.06175,7.54717,8.404803
27,1.543739,1.715266,1.886792,2.401372,2.229846,3.259005,4.288165,4.631218,4.631218,6.003431,4.974271,6.346484,7.54717,7.54717,7.375643
28,1.543739,2.058319,2.229846,2.572899,3.430532,3.945111,3.945111,4.288165,4.802744,6.003431,5.831904,6.174957,7.204117,8.404803,8.06175
29,1.715266,2.058319,2.058319,2.572899,3.087479,3.087479,4.631218,4.116638,4.631218,6.174957,6.003431,6.51801,7.204117,8.233276,8.233276
30,1.886792,1.543739,2.058319,2.401372,3.259005,3.087479,3.773585,4.802744,4.974271,5.488851,5.831904,6.174957,6.174957,7.54717,8.404803
