tenure1,tenure2,runs,mean_gap,min_gap,max_gap,std_gap,mean_value,mean_iterations,mean_candidates,mean_feasibility
1,1,100,5.28548647,0.797448,11.642743,2.07119794,660.14,31678.91,2009308847,123088149.5
1,2,100,5.08771933,0.797448,11.323764,1.968083596,658.9,26891.05,1631952907,129410846.8
1,3,100,5.11004784,0.797448,11.642743,2.086265226,659.04,31162.27,1948482922,124006865.4
1,4,100,4.88516749,0.797448,11.323764,1.92854071,657.63,36607.11,2376770940,117026392.1
1,5,100,4.89633177,0.797448,11.323764,2.009426169,657.7,43339.34,2954566441,100691678
1,6,100,4.80063802,0.797448,11.483254,1.942855722,657.1,51836.52,3664776694,92473632.52
1,7,100,4.80542268,0.797448,11.323764,2.017485498,657.13,54882.71,3939296769,86107939.69
1,8,100,4.47687407,0.478469,9.728868,1.979377263,655.07,60975.21,4461552403,74261465.33
1,9,100,4.46730466,0,9.728868,1.867190534,655.01,63854.39,4707020064,70431681.09
1,10,100,4.44816588,0,9.728868,1.814486242,654.89,71419.03,5285337525,62043455.03
1,11,100,4.49122812,0.797448,9.728868,1.854934258,655.16,80216.68,5911775935,55891236.54
1,12,100,4.42583736,0.797448,9.728868,1.807176085,654.75,85961.37,6307350072,47979127.2
1,13,100,4.40510368,0.797448,9.250399,1.641385886,654.62,90184.9,6514634728,40669151.47
1,14,100,4.71770334,0.797448,9.728868,1.771392007,656.58,98525.47,7002266598,35444394.7
1,15,100,4.53110044,0.797448,7.814992,1.545494159,655.41,104054.71,7239904071,31849708.42
2,1,100,4.45773529,0.797448,10.207337,1.874316003,654.95,26878.97,1502830707,136111225.8
2,2,100,4.47687401,0.797448,11.483254,1.994635811,655.07,32318.08,1885597195,130714222.4
2,3,100,4.60127592,0.797448,10.526316,2.007747308,655.85,35033.02,2161214181,126577354.1
2,4,100,4.5119617,0,11.323764,2.030262111,655.29,42561.25,2766381462,122738355.1
2,5,100,3.77352476,0,11.642743,1.776611838,650.66,51051.55,3477211769,108669377.8
2,6,100,3.73046256,0.797448,8.77193,1.561997803,650.39,56685.65,3972748729,95533997.74
2,7,100,3.61881983,0.637959,6.220096,1.280278544,649.69,67712,4879890666,86375485.43
2,8,100,3.60446576,0,6.539075,1.488569965,649.6,72848.5,5317462223,79622626.82
2,9,100,3.66826161,0.797448,6.539075,1.403274458,650,76409.08,5597208657,71582723.56
2,10,100,3.41626797,0.637959,8.61244,1.418785101,648.42,81520.91,5992262552,61097340.67
2,11,100,3.70015949,0.637959,6.539075,1.406200993,650.2,87325.2,6368118984,55143195.55
2,12,100,3.52153111,0.637959,6.539075,1.244659271,649.08,91601.02,6633047989,48321915.97
2,13,100,3.96331742,0.797448,6.698565,1.45952587,651.85,96091.82,6870679725,44487622.31
2,14,100,3.97767146,0.797448,7.017544,1.528564445,651.94,100751.67,7118219253,40241820.63
2,15,100,4.1451356,0.637959,7.336523,1.512116417,652.99,107336.93,7415184690,35736635.01
3,1,100,4.28708141,0.637959,10.526316,1.747897785,653.88,31572.82,1723327220,160112114.1
3,2,100,4.02073366,0,10.047847,1.668018408,652.21,35130.48,2005047529,153844459.5
3,3,100,3.84051039,0.797448,10.207337,1.747515552,651.08,40054.41,2432058447,135162737.9
3,4,100,3.40031899,0.797448,9.250399,1.410557661,648.32,47339.03,3061131524,117700187
3,5,100,3.49601273,0,7.814992,1.469579336,648.92,51072.11,3456571234,102856927.1
3,6,100,3.48325361,0,6.220096,1.48177443,648.84,54772.93,3819767014,88794042.06
3,7,100,3.53748007,0,7.814992,1.701129128,649.18,61673.98,4397424886,80668118.4
3,8,100,3.63157897,0,7.814992,1.707833432,649.77,65209.54,4699442492,74337024.1
3,9,100,3.76555023,0,7.814992,1.636858009,650.61,69041.29,5005935905,67178474.94
3,10,100,3.60127588,0.318979,6.539075,1.503371707,649.58,72402.61,5246525936,60621192.77
3,11,100,3.57894734,0.797448,6.698565,1.337908929,649.44,75943.13,5482284009,54573738.51
3,12,100,3.92663475,0.797448,7.496013,1.39423316,651.62,80433.35,5771497686,48454258.89
3,13,100,4.10526319,0.797448,6.539075,1.500025019,652.74,84364.39,5991593444,44168120.78
3,14,100,4.27432219,0.637959,7.017544,1.629164847,653.8,88675.74,6224555347,40075939.15
3,15,100,4.24720894,0.797448,9.250399,1.692691531,653.63,92799.5,6451517486,36717360.79
4,1,100,3.05582134,0,7.177033,1.459410502,646.16,29290.65,1549850976,146746074.4
4,2,100,2.66985651,0,9.569378,1.898728614,643.74,32098.42,1860888255,117896854
4,3,100,2.94098883,0,6.539075,1.785138618,645.44,37697.72,2323261270,112687943.9
4,4,100,2.97288674,0,6.539075,1.472520639,645.64,43882.91,2843837108,101295225
4,5,100,2.72567788,0,6.220096,1.318910359,644.09,49964.46,3349710462,96478305.16
4,6,100,2.92982456,0,6.220096,1.617873684,645.37,53192.83,3669864908,89099791.73
4,7,100,2.70653907,0,6.220096,1.46621414,643.97,58772.11,4144440708,79259477.4
4,8,100,2.87240834,0,6.220096,1.572914968,645.01,62619.85,4463928104,70601909.07
4,9,100,3.31738437,0,6.539075,1.398873139,647.8,66860.35,4798557352,68030167.28
4,10,100,3.37958527,0.15949,6.539075,1.536089036,648.19,69415.8,4992684126,61357887.93
4,11,100,3.59649119,0,6.539075,1.308010466,649.55,72512.32,5204003994,56633372.67
4,12,100,3.28867621,0,8.452951,1.264545016,647.62,74534.14,5328400611,51367676.65
4,13,100,3.91068579,0.637959,6.539075,1.464114174,651.52,78875.51,5601717520,47071257.6
4,14,100,4.15151513,0.797448,6.539075,1.496223515,653.03,84764.56,5950895036,43081702.33
4,15,100,4.38596494,0.797448,7.496013,1.53722687,654.5,87957.43,6116327370,38703845.85
5,1,100,2.8548644,0,9.409888,1.483642466,644.9,31165.41,1660248427,139322334.8
5,2,100,2.65071777,0,6.539075,1.612006828,643.62,33109.79,1944278339,117012144.5
5,3,100,2.0717703,0,5.422648,1.454256064,639.99,40914.76,2556420055,108708958.6
5,4,100,1.65550238,0,3.668262,1.364428674,637.38,50337.94,3296685421,101641198.6
5,5,100,2.37001599,0,5.741627,1.333234019,641.86,55065.74,3652190191,106096650.2
5,6,100,2.44019135,0,5.901116,1.522109436,642.3,59258.96,4056915389,92019003.02
5,7,100,2.81180218,0,5.103668,1.394947041,644.63,62588.29,4357152662,91528799.74
5,8,100,2.87719302,0,4.46571,1.2182108,645.04,70296.54,4952605078,81058161.72
5,9,100,3.01754381,0.318979,4.625199,1.108384853,645.92,72492.23,5146678015,76728510.78
5,10,100,2.77830936,0.318979,4.784689,1.104087988,644.42,74751.25,5320315025,69681855.24
5,11,100,3.08452947,0.797448,6.379585,1.125988101,646.34,79529.04,5664501952,62704260.66
5,12,100,3.36363633,0.797448,5.741627,1.149223436,648.09,85194.75,6045383808,56710201.22
5,13,100,3.32376393,0.318979,7.017544,1.478823679,647.84,87718.45,6161248796,51121934.24
5,14,100,3.73843698,0.318979,6.539075,1.555804729,650.44,92883.7,6490229989,47030473.58
5,15,100,3.70653902,0,7.017544,1.567125733,650.24,98517.63,6781770117,42135925.06
6,1,100,2.12280696,0,4.784689,1.177187806,640.31,33264.49,1811777320,157221873.7
6,2,100,1.61722483,0,4.14673,1.36051365,637.14,38213.32,2272780795,126253329.3
6,3,100,1.49920262,0,3.668262,1.309703591,636.4,43957.1,2758700856,109570295.9
6,4,100,1.96650715,0,4.784689,1.393177629,639.33,50389.35,3293278600,101547972.5
6,5,100,2.1196172,0,5.422648,1.435548992,640.29,51927.72,3445181763,93940430.21
6,6,100,2.29665069,0,5.422648,1.287144759,641.4,53451.86,3611102666,85528333.95
6,7,100,2.03508776,0,5.582137,1.399078787,639.76,56476.46,3890353306,78106689.45
6,8,100,2.53429026,0,5.263158,1.388899861,642.89,59241.72,4133486616,75893106.69
6,9,100,2.26475275,0,4.14673,1.387438588,641.2,63123.23,4442912888,69153293.69
6,10,100,2.59808615,0,5.422648,1.403511567,643.29,67648.88,4777582687,61934284.92
6,11,100,2.93301436,0.318979,5.422648,1.296273797,645.39,70895.57,5006619208,57455749.3
6,12,100,3.04146732,0,8.61244,1.439831052,646.07,76267.01,5357650653,51222876.91
6,13,100,3.16267941,0,5.422648,1.411863981,646.83,79124.57,5540242507,47712514.57
6,14,100,3.47527909,0.318979,7.814992,1.70458674,648.79,82835.67,5738671752,43994360.29
6,15,100,3.3700159,0.637959,6.539075,1.710208832,648.13,90005.71,6153602529,38670159.27
7,1,100,1.51674636,0,3.508772,1.117116389,636.51,30640.69,1680923057,135411295.5
7,2,100,0.96969698,0,3.668262,1.196667296,633.08,35177.56,2117951408,103749787
7,3,100,1.46411484,0,5.263158,1.56897073,636.18,39451.28,2486204894,95726961.73
7,4,100,1.47368419,0,4.30622,1.488072651,636.24,44709.78,2901251427,88998828.92
7,5,100,1.3732057,0,4.625199,1.444043443,635.61,48481.11,3228228070,81023748.84
7,6,100,1.86602875,0,3.987241,1.438267894,638.7,51711.77,3494941525,78507968.62
7,7,100,2.14354063,0,4.784689,1.413912478,640.44,55252.6,3781755216,74648060.84
7,8,100,2.26315794,0,8.293461,1.549412667,641.19,56755.97,3929087132,69489046.72
7,9,100,2.4784689,0,5.582137,1.398582923,642.54,64544.34,4510633124,65003903.22
7,10,100,2.68899517,0,6.060606,1.390402107,643.86,66075.02,4639101030,58923064.47
7,11,100,2.77511951,0,6.539075,1.241625189,644.4,68238.65,4791307300,55225600.76
7,12,100,2.93939392,0.318979,6.539075,1.425303259,645.43,73999.71,5187816950,50445474.06
7,13,100,3.17862837,0.318979,7.655502,1.561728014,646.93,76550.13,5334923811,45627520.77
7,14,100,3.43540669,0.797448,6.060606,1.443068959,648.54,83321.82,5732686060,40756875.68
7,15,100,3.1068581,0.637959,6.060606,1.520248076,646.48,88091.33,6020097395,37415282.01
