time_sec,mean_best_value,valid_runs
0.5,645.18,100
1.0,642.59,100
1.5,641.02,100
2.0,639.37,100
2.5,638.5,100
3.0,638.15,100
3.5,637.72,100
4.0,637.09,100
4.5,636.29,100
5.0,635.54,100
5.5,634.81,100
6.0,634.24,100
6.5,633.92,100
7.0,633.71,100
7.5,633.01,100
8.0,632.77,100
8.5,632.24,100
9.0,632.22,100
9.5,632,100
10.0,631.65,100
10.5,631.34,100
11.0,631.29,100
11.5,631.08,100
12.0,630.68,100
12.5,630.64,100
13.0,630.48,100
13.5,630.44,100
14.0,630.38,100
14.5,630.22,100
15.0,630.1,100
15.5,629.92,100
16.0,629.84,100
16.5,629.08,100
17.0,628.97,100
17.5,628.79,100
18.0,628.72,100
18.5,628.04,100
19.0,627.96,100
19.5,627.92,100
20.0,627.86,100
